,address_id,place_type_id,room_type_id,number_of_persons_id,number_of_offers,average_rating,max_rating,min_rating
174,60,3,965,1,3,9.1333333333,9.5,8.9
175,60,3,951,1,3,9.6,9.8,9.2
176,60,3,1322,1,3,9.3666666667,9.6,9.2
177,60,3,1285,3,3,9.4,9.5,9.3
178,60,3,430,4,3,9.1,9.2,9.0
179,60,3,500,2,3,9.3666666667,9.6,9.2
180,60,3,1570,1,3,9.3333333333,9.6,9.1
181,60,3,1380,2,3,9.2666666667,9.6,9.0
182,60,3,1021,3,3,9.0333333333,9.7,8.7
183,29,3,1427,1,3,9.2666666667,9.3,9.2
184,29,3,928,2,3,9.3666666667,9.7,8.7
185,18,3,181,1,3,9.1333333333,9.6,8.9
186,18,3,712,1,3,8.8,9.0,8.5
187,18,3,394,1,3,8.6666666667,9.4,8.1
188,18,3,938,2,3,8.6666666667,9.0,8.1
189,18,3,928,2,3,8.7,9.3,8.1
190,18,3,737,1,3,8.7333333333,9.0,8.4
191,16,3,309,1,3,8.7333333333,9.0,8.6
192,16,3,120,1,3,9.0666666667,9.7,8.5
193,4,3,882,3,3,9.2666666667,9.7,9.0
194,139,3,120,1,3,8.7666666667,9.1,8.6
195,24,13,1373,4,2,8.55,8.9,8.2
196,142,6,755,3,2,8.0,8.0,8.0
197,60,6,309,1,2,8.25,8.5,8.0
198,60,6,1435,5,2,8.5,8.5,8.5
199,18,6,1373,5,2,8.2,8.2,8.2
200,18,6,309,1,2,8.2,8.2,8.2
201,139,6,745,1,2,8.1,8.1,8.1
202,139,6,624,3,2,8.1,8.1,8.1
203,139,6,380,1,2,8.1,8.1,8.1
204,139,6,755,3,2,8.1,8.1,8.1
205,118,6,755,5,2,8.6,8.6,8.6
206,132,6,1373,4,2,9.1,9.1,9.1
207,24,6,755,4,2,8.7,8.7,8.7
208,28,7,1049,1,2,8.6,8.6,8.6
209,142,7,631,5,2,8.5,8.5,8.5
210,107,7,430,3,2,9.2,9.2,9.2
211,60,7,309,2,2,9.0,9.0,9.0
212,60,7,204,0,2,8.85,9.4,8.3
213,60,7,1662,3,2,8.75,9.2,8.3
214,60,7,712,1,2,8.45,8.7,8.2
215,60,7,1427,1,2,8.9,9.4,8.4
216,60,7,737,1,2,8.85,9.4,8.3
217,40,7,762,1,2,8.9,8.9,8.9
218,159,7,309,1,2,9.1,9.7,8.5
